,자전거대여소 번호,인근 버스정류장 개수,인근 지하철역 개수,인근 학교 수,인근 아파트 세대수,인근 문화시설 수,인근 대학교 개수,인근 대형학원 개수,(A)비분리형 겸용도로,(A)자전거 전용도로,(A)분리형 겸용도로,(A)자전거 전용차로,(B)자전거 전용도로,(B)분리형 겸용도로,(B)비분리형 겸용도로,(A)자전거 우선도로
0,301,23,1,7,894,8,1,0,0,0,0,2,0,0,0,2
1,302,24,1,6,150,6,0,0,0,0,1,5,0,0,0,3
2,303,33,2,1,150,14,0,0,1,2,4,3,0,0,0,6
3,305,48,2,0,0,17,0,0,1,2,3,7,0,0,0,6
4,307,25,1,7,150,20,0,0,1,0,1,0,0,0,0,7
5,308,35,1,7,150,21,0,0,1,2,4,1,0,0,0,7
6,309,43,2,1,0,18,0,0,1,2,4,1,0,0,0,5
7,314,22,0,6,0,22,0,0,0,0,0,6,0,0,0,4
8,316,51,3,0,0,32,0,0,1,2,4,3,0,0,0,5
9,326,36,1,9,291,52,0,0,3,0,0,1,0,0,0,6
10,327,47,3,3,291,46,0,0,3,0,0,2,0,0,0,6
11,328,38,4,3,0,23,0,0,1,2,0,3,0,0,0,8
12,329,47,5,3,0,10,0,0,1,2,0,3,0,0,0,8
13,334,36,5,6,1022,9,0,0,1,2,0,3,0,0,0,7
14,335,36,5,3,1022,9,0,0,1,2,0,2,0,0,0,7
15,337,21,0,0,0,4,0,0,5,0,0,0,0,0,0,1
16,338,37,4,3,1320,5,0,0,1,2,0,4,0,0,0,10
17,339,40,3,4,1058,4,0,0,0,2,0,4,0,0,0,8
18,340,29,1,15,436,22,2,0,4,0,0,0,0,0,0,0
19,341,26,1,8,0,24,1,0,4,0,0,0,0,0,0,0
20,342,31,1,2,0,26,1,0,5,0,0,0,0,0,0,0
21,343,25,0,3,333,9,1,0,4,0,0,1,0,0,0,2
22,344,28,2,3,333,4,0,0,4,2,0,2,0,0,0,4
23,345,43,1,4,631,9,0,0,6,2,0,4,0,0,0,7
24,348,52,1,9,5897,5,1,0,2,0,0,0,0,0,0,0
25,349,30,1,13,894,10,1,0,0,0,0,1,0,0,0,2
26,351,10,0,47,0,3,0,0,0,0,0,2,0,0,0,0
27,352,24,0,35,0,19,0,0,0,0,0,3,0,0,0,0
28,353,37,1,35,0,29,0,0,2,0,0,5,0,0,0,6
29,354,27,1,30,291,19,0,0,3,0,0,0,0,0,0,4
30,355,30,0,3,333,9,1,0,6,0,0,1,0,0,0,3
31,356,32,0,3,333,13,1,0,6,0,0,1,0,0,0,3
32,358,28,1,6,436,20,0,0,4,0,0,0,0,0,0,0
33,359,33,0,1,152,6,0,0,6,0,0,0,0,0,0,3
34,361,26,3,68,749,6,0,0,0,2,0,0,0,0,0,0
35,362,33,2,70,3476,5,0,2,0,4,1,0,0,0,1,0
36,363,34,2,0,1644,4,0,4,0,4,0,0,0,0,2,0
37,364,19,1,12,5005,2,0,0,0,0,0,0,0,0,0,0
38,367,41,1,8,5663,3,0,0,2,0,0,0,0,0,0,0
39,368,55,4,0,0,18,0,0,1,2,4,3,0,0,0,4
40,369,20,1,5,0,18,0,0,0,0,1,5,0,0,0,5
41,385,48,2,0,0,26,0,0,1,2,1,3,0,0,0,6
42,388,27,1,15,436,22,2,0,4,0,0,0,0,0,0,0
43,393,25,2,0,0,5,0,0,2,2,0,1,0,0,0,3
44,394,58,1,10,2466,10,1,0,2,0,0,0,0,0,0,6
45,395,59,1,1,2976,8,1,0,2,0,0,0,0,0,0,6
46,397,37,5,3,1320,5,0,0,1,2,0,4,0,0,0,10
47,446,27,0,6,123,3,1,0,0,0,0,0,0,0,0,0
48,447,38,0,1,123,2,0,0,0,0,0,0,0,0,0,0
49,449,14,0,0,324,4,0,0,0,0,0,0,0,0,0,0
50,450,14,0,22,0,3,0,0,0,0,0,2,0,0,0,0
51,451,16,0,0,0,13,0,0,0,0,0,4,0,0,0,0
52,452,39,2,1,333,4,0,0,2,2,0,3,0,0,0,7
53,453,43,1,28,450,3,0,0,0,2,0,4,0,0,0,8
54,454,48,3,3,0,35,0,0,0,2,0,3,0,0,0,6
55,455,33,3,1,181,5,0,0,2,2,0,2,0,0,0,7
56,456,35,4,68,4263,3,0,2,0,4,0,0,0,0,0,0
57,457,32,3,0,181,2,0,0,2,2,0,2,0,0,0,7
58,458,41,3,1,0,18,0,0,1,2,4,3,0,0,0,7
59,461,29,1,6,894,12,0,0,0,0,1,2,0,0,0,4
60,462,41,0,1,123,2,0,0,0,0,0,0,0,0,0,0
61,464,20,0,5,0,16,0,0,0,0,0,4,0,0,0,0
62,465,12,0,5,0,3,0,0,0,0,0,0,0,0,0,0
63,486,20,0,0,168,2,0,0,0,0,0,0,0,0,0,0
64,3401,22,3,68,749,6,0,0,1,2,0,0,0,0,0,1
65,3402,23,0,3,333,8,1,0,4,0,0,1,0,0,0,2
66,3403,51,1,10,2233,13,0,0,2,0,0,0,0,0,0,6
